denomination;categorie;avant_montant;conv_montant;remu_montant
STERIS;Professionnel de santé;5640;0;
ADVANCED BIONICS SARL;Etudiant;5611;5013;
INTEGRAL ORTHO;Etudiant;5611;;
France Oxygène;Professionnel de santé;5606;477184;
Actelion Pharmaceuticals France;Association usager de santé;5600;5600;
MEDPERF SAS;Professionnel de santé;5596;5635;
INTERSURGICAL SARL;Professionnel de santé;5587;;
PROVEPHARM;Professionnel de santé;5563;72000;9000
DJO France SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;5560;0;
NESTLE HOMECARE;Etudiant;5506;0;
Nobel Biocare Commercial (Shanghai) Co Ltd;Professionnel de santé;5501;27500;
NORDIC PHARMA SAS;Association usager de santé;5500;0;
PENTAX MEDICAL;Association professionnel de santé;5500;;
SANTELYS ASSOCIATION;Etablissement de santé;5500;;
SOS OXYGENE PAYS DE LOIRE NORD;Professionnel de santé;5499;0;
SANDOZ;Etudiant;5466;40;
ADVICENNE;Etudiant;5433;0;
SHIRE France S.A.;Etudiant;5416;4593;455
KEOCYT;Etudiant;5385;0;
LABORATOIRES NOREVA LED;Professionnel de santé;5384;;
Kynetec France;Vétérinaire;5380;;
3S ORTHO;Professionnel de santé;5373;;
ADLER ORTHO France;Etudiant;5370;0;
EXPANSION CONSULTEAM;Professionnel de santé;5305;;
SAMSUNG ELECTRONICS FRANCE;Professionnel de santé;5283;4500;
SYMATESE AESTHETICS;Professionnel de santé;5253;60000;
TILLOTTS PHARMA AG;Professionnel de santé;5250;;
PROTHEOS SA;Etudiant;5205;0;
APOLLO ENDOSURGERY UK LTD;Professionnel de santé;5200;0;6400
SCHWA-MEDICO FRANCE;Association professionnel de santé;5200;300;
ISIS LANGUEDOC ROUSSILLON;Professionnel de santé;5177;;
SERF EXTREMITY;Personnes morales assurant la formation initiale ou continue des professionnels de santé;5176;;
Taiho Oncology;Professionnel de santé;5174;;
GETINGE France;Académies, Fondation, sociétés savantes, organismes de conseils;5160;392293;397214
TEOXANE SA;Professionnel de santé;5155;0;45478
INVENTIVA;Association usager de santé;5120;5120;
BIO-RAD;Professionnel de santé;5115;12690;1420
ADVANCED BIONICS SARL;Presse et média;5072;5072;
Medicalo2;Professionnel de santé;5050;17298;
SADIR ASSISTANCE;Etudiant;5050;3235;
Alexion Pharma France;Etudiant;5023;0;407
EXPERF NORMANDIE;Professionnel de santé;5023;0;
ISIS RHONE ALPES;Professionnel de santé;5006;;
ALK-Abelló;Association usager de santé;5000;;
CELGENE SAS;Groupement sanitaire;5000;5000;
DAIICHI SANKYO ONCOLOGY FRANCE;Association usager de santé;5000;5000;
GEP Santé;Association professionnel de santé;5000;;
ISIS COTE D'AZUR;Etablissement de santé;5000;;
Lipomed GmbH;Association professionnel de santé;5000;;
MYLAN SAS;Association usager de santé;5000;0;120530
OXYVIE S.A.S;Association professionnel de santé;5000;;
PFM MEDICAL FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;5000;27200;48368
RESMED SAS;Académies, Fondation, sociétés savantes, organismes de conseils;5000;0;53125
S.O.S OXYGENE ILE DE France;Association usager de santé;5000;;
Santhera (Netherlands) B.V;Association usager de santé;5000;;
Sirtex Medical Europe GmbH;Association professionnel de santé;5000;;
TEOXANE SA;Association usager de santé;5000;;
ULTRAGENYX PHARMACEUTICAL INC.;Association professionnel de santé;5000;12000;12400
BALT EXTRUSION SAS;Académies, Fondation, sociétés savantes, organismes de conseils;4988;237560;227769
BRACCO IMAGING FRANCE;Etablissement de santé;4988;3900;10420
LIMA FRANCE;Etudiant;4988;;
GACD;Professionnel de santé;4973;4697;
THERADIAG SA;Association professionnel de santé;4964;;
SOS OXYGENE ILE DE France NORD;Professionnel de santé;4959;0;
BIOGARAN;Etudiant;4911;884;
Smith & Nephew S.A.S.;Etudiant;4904;4232;
gn hearing sas;Etudiant;4888;;
PTC Therapeutics France SAS;Professionnel de santé;4883;11850;
Société Guyanaise de l'Air Liquide;Professionnel de santé;4867;;
Penumbra, Inc.;Etablissement de santé;4856;0;81746
EXPERF NORD;Association professionnel de santé;4850;;
GEN.ORPH;Professionnel de santé;4850;3230;
Laboratoires AUVEX;Professionnel de santé;4850;;
COSMETIQUE ACTIVE FRANCE;Association usager de santé;4822;;
SPINEWAY;Professionnel de santé;4785;0;
OLYMPUS France SAS;Etudiant;4761;0;
EXPERF LANGUEDOC ROUSSILLON;Etudiant;4743;0;
alliance healthcare repartition;Professionnel de santé;4709;;
VEXIM SA;Etudiant;4708;0;
Johnson et Johnson Santé Beauté France;Etudiant;4681;0;
CRYOLIFE FRANCE;Professionnel de santé;4670;0;
S.O.S. OXYGENE NORMANDIE;Professionnel de santé;4658;0;
Octapharma France;Etudiant;4657;;
PERRIER SURDITE ANNECY SAS;Professionnel de santé;4624;3318;
Sarl Audioptique Conseil;Professionnel de santé;4583;;
A.V.D.;Professionnel de santé;4533;1875;
BOIRON CARAIBES;Professionnel de santé;4522;0;1900
DOM'AIR;Professionnel de santé;4519;0;6000
VISUfarma;Professionnel de santé;4516;3236;
STEPHANIX;Association professionnel de santé;4511;;
RE-IMAGINE Health Agency;Professionnel de santé;4502;0;106450
Bastide Le Confort Médical;Etablissement de santé;4500;;
DINNO SANTE;Association usager de santé;4500;0;
MERZ PHARMA France;Association professionnel de santé;4500;13000;6500
SWEDISH ORPHAN BIOVITRUM;Association usager de santé;4500;14920;11100
THERAKOS UK Ltd;Académies, Fondation, sociétés savantes, organismes de conseils;4500;;
Cerus Corporation;Professionnel de santé;4443;;
MSD France;Presse et média;4430;0;100459
GEP SANTE SUD EST;Professionnel de santé;4389;0;
CRISTALENS SA;Etudiant;4388;;
COUSIN BIOTECH;Professionnel de santé;4379;41328;60376
B.BRAUN MEDICAL SAS;Professionnel de santé;4378;0;92854
Merz Middle East FZ LLC;Professionnel de santé;4338;5000;5000
R'SUD MEDICAL;Etudiant;4337;4712;
PERF NUT ASSISTANCE MIDI PYRENEES;Etudiant;4333;0;
DAIICHI SANKYO ONCOLOGY FRANCE;Etudiant;4323;;
EXPERF MIDI PYRENEES;Professionnel de santé;4295;0;
C Space (d/b/a Communispace);Professionnel de santé;4290;;
Sebia;Professionnel de santé;4287;3270;2447
DENTAURUM FRANCE;Etudiant;4250;0;
Dentsply Gac Europe;Etudiant;4245;;
ORMCO FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;4232;0;
OCP REPARTITION;Etudiant;4205;400;
FRESENIUS KABI FRANCE;Etablissement de santé;4200;5000;1200
VKMED;Professionnel de santé;4156;2326;
Aegerion Pharmaceuticals;Professionnel de santé;4153;0;3420
GEISTLICH PHARMA FRANCE;Professionnel de santé;4151;25041;
AIR LIQUIDE MEDICAL SYSTEMS;Professionnel de santé;4131;0;12750
INTEGRAL ORTHO;Association professionnel de santé;4125;;
LABORATOIRES BROTHIER;Etudiant;4109;0;
DIASORIN SA;Etablissement de santé;4104;20000;19182
EXPERF LORRAINE;Etudiant;4093;0;
SANOFI-AVENTIS GROUPE;Académies, Fondation, sociétés savantes, organismes de conseils;4088;0;29462866
GEP Santé;Association usager de santé;4000;;
LEO Pharma;Groupement sanitaire;4000;22700;8300
OXYVIE S.A.S;Académies, Fondation, sociétés savantes, organismes de conseils;4000;;
PFIZER PFE FRANCE;Association professionnel de santé;4000;0;187585
SANOFI PASTEUR;Presse et média;4000;0;
SPECTRANETICS FRANCE SARL;Association professionnel de santé;4000;7000;
SOS OXYGENE RHONE ALPES Vaulx;Professionnel de santé;3990;0;
Wandercraft;Professionnel de santé;3983;;
Dompé Farmaceutici S.p.A;Professionnel de santé;3978;;9000
CIZETA MEDICALI France;Professionnel de santé;3961;;
HEXACATH FRANCE;Etudiant;3942;0;
AIR LIQUIDE SANTE FRANCE;Professionnel de santé;3934;0;
LVL MEDICAL OUEST;Association professionnel de santé;3900;71800;
DENTALINOV;Professionnel de santé;3887;0;
SOS OXYGENE GARONNE;Association usager de santé;3850;;
LENTILLES SAS;Professionnel de santé;3832;;
NUTRICIA Nutrition Clinique;Etudiant;3832;0;
LCA S.A.;Vétérinaire;3821;;
VIFOR FRESENIUS MEDICAL CARE RENAL PHARMA;Professionnel de santé;3817;0;27232
EXPERF NORD;Etudiant;3799;0;
Neo Medical S.A.S.;Professionnel de santé;3794;780;
HALYARD France;Professionnel de santé;3792;0;
MSD France;Etudiant;3776;0;
NuVasive Netherlands B.V.;Professionnel de santé;3764;0;
ISIS EURE ET LOIR;Professionnel de santé;3761;115580;
LIVE ! BY GL EVENTS;Etudiant;3742;1830;
NIDEK CO LTD;Professionnel de santé;3732;11500;12000
THIERRY DAMBREVILLE;Professionnel de santé;3713;;
LABORATOIRE KCI MEDICAL;Professionnel de santé;3699;1000;
MERZ PHARMA France;Etudiant;3687;3943;625
SOS OXYGENE LOIRE HAUTE LOIRE;Professionnel de santé;3687;0;
Jean-Manuel Toussaint, IHMT;Professionnel de santé;3650;;
ELIA MEDICAL OUEST;Professionnel de santé;3643;0;
SURGIVISIO;Professionnel de santé;3637;150;1050
Laboratoires MAJORELLE;Professionnel de santé;3635;84432;
SomnoMed France;Professionnel de santé;3623;6246;29483
ABBOTT MEDICAL FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;3600;;
Coloplast Manufacturing France;Association professionnel de santé;3600;;
LVL MEDICAL SUD OUEST;Association usager de santé;3600;4800;
AIR DOMICILE SANTE ALPES;Professionnel de santé;3594;15801;
Draeger Medical Canada;Professionnel de santé;3578;4602;
Enanta Pharmaceuticals;Personnes morales assurant la formation initiale ou continue des professionnels de santé;3570;0;
EDUSANTE;Professionnel de santé;3555;;
DIXI Medical;Professionnel de santé;3534;;
Spectrum Pharmaceuticals, Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;3521;0;
SOCIETE D'ETUDES ET DE RECHERCHES PHARMACEUTIQUES;Professionnel de santé;3515;1384;1000
Covidien AG;Etudiant;3507;0;
Merit Medical France;Etudiant;3506;2639;
RESMED SAS;Association usager de santé;3500;0;
THE BINDING SITE GROUP LTD;Association professionnel de santé;3500;32300;
DUFLOT SANTE;Professionnel de santé;3494;;
medwork France;Professionnel de santé;3489;;
Zoetis France;Académies, Fondation, sociétés savantes, organismes de conseils;3479;0;599445
ELIA MEDICAL MEDITERRANEE;Professionnel de santé;3470;0;
LVL MEDICAL SUD;Association professionnel de santé;3450;18250;
Zimmer Dental SAS;Professionnel de santé;3390;0;205320
KOELIS;Professionnel de santé;3387;0;
Codexial Dermatologie;Professionnel de santé;3382;;
LifeScan France SAS;Etudiant;3382;;
LSO MEDICAL;Professionnel de santé;3380;1000;2700
Philips France Commercial;Etudiant;3379;;
ACROPOLE;Professionnel de santé;3373;;
EXPERF RHONE ALPES;Etudiant;3360;0;
ALERE SAS;Professionnel de santé;3356;;
Grey Healthcare Paris;Professionnel de santé;3353;15650;
PSI CRO FRANCE;Professionnel de santé;3344;0;
PERF NUT ASSISTANCE MIDI PYRENEES;Professionnel de santé;3323;0;
AveXis EU Limited;Professionnel de santé;3314;0;14000
Aide aux Insuffisants Respiratoires de la Région Auvergne (A.I.R.R.A.);Professionnel de santé;3307;;
A.I.R.;Association professionnel de santé;3300;;
EXPERF PACA;Association professionnel de santé;3300;;
LSO MEDICAL;Association professionnel de santé;3300;3700;1900
Becton Dickinson France SAS;Etudiant;3297;410;
SOS OXYGENE PARTICIPATIONS;Professionnel de santé;3295;0;4800
BIOPROJET PHARMA;Etudiant;3293;;
NOVO NORDISK;Etablissement de santé;3293;0;140405
OXYVIE S.A.S;Etablissement de santé;3292;;
VIRBAC FRANCE;Etudiant;3265;0;
MUNDIPHARMA;Etablissement de santé;3248;0;26073
DEFI ORTHO;Professionnel de santé;3247;298;
VIVACTIS MEDICAL EDUCATION;Professionnel de santé;3241;0;16862
Oxford Immunotec Ltd;Professionnel de santé;3195;0;1590
TOSHIBA MEDICAL FRANCE;Etudiant;3188;;
SYSMED ASSISTANCE;Professionnel de santé;3187;33003;
COOPERATION PHARMACEUTIQUE FRANCAISE;Professionnel de santé;3184;;
GW Research Limited;Professionnel de santé;3158;30329;5573
Orphan Europe;Etudiant;3158;;
ANTADIR;Association professionnel de santé;3150;;
SOS OXYGENE SUD ALSACE;Professionnel de santé;3142;0;
STEPHANIX;Professionnel de santé;3135;;
CENTRALE DES OPTICIENS;Professionnel de santé;3133;;
AMOMED PHARMA;Etudiant;3126;;
AIXIAL;Professionnel de santé;3122;0;4625
CRISTALENS INDUSTRIE;Professionnel de santé;3120;0;
NORDIC PHARMA SAS;Presse et média;3120;0;7200
EXPERF ISERE;Professionnel de santé;3102;0;
TEOXANE FRANCE;Etablissement de santé;3100;4000;
THERADIAL SAS;Etudiant;3069;;
MERIAL;Académies, Fondation, sociétés savantes, organismes de conseils;3059;0;1394044
Daiichi Sankyo Oncology Europe GmbH;Professionnel de santé;3047;15300;10800
RMO EUROPE;Professionnel de santé;3042;0;
IQVIA Operations France;Professionnel de santé;3040;105660;77165
TELEFLEX MEDICAL SAS;Association usager de santé;3040;;
ZB-ORTHO;Professionnel de santé;3029;;
QUANTEL MEDICAL;Professionnel de santé;3024;9500;
Fresenius Medical Care France S.A.S.;Etudiant;3007;0;500
AUDITION SANTE;Association usager de santé;3000;;
BOIRON;Académies, Fondation, sociétés savantes, organismes de conseils;3000;0;14134436
horus pharma;Association professionnel de santé;3000;3100;
KARL STORZ ENDOSCOPIE FRANCE SAS;Association professionnel de santé;3000;;
LABORATOIRES MAYOLY SPINDLER;Association professionnel de santé;3000;0;113908
MECCELLIS BIOTECH;Association professionnel de santé;3000;9000;
MELLITUS CARE;Association usager de santé;3000;;
SWEDISH ORPHAN BIOVITRUM;Académies, Fondation, sociétés savantes, organismes de conseils;3000;255665;847038
GB001, Inc;Professionnel de santé;2994;2757;
LYRA FRANCE;Professionnel de santé;2986;;
Laboratoire AGUETTANT, Société par Actions Simplifiée;Etudiant;2967;;
SOS OXYGENE NORMANDIE;Professionnel de santé;2961;0;
LeMaitre Vascular SAS;Etudiant;2958;;
GMP-ORPHAN;Professionnel de santé;2951;9250;15033
PROCTER & GAMBLE PHARMACEUTICALS FRANCE;Professionnel de santé;2948;;
Dräger France SAS;Etudiant;2932;2932;
ROCHE DIABETES CARE FRANCE;Etudiant;2930;;
GROUPE LEPINE;Professionnel de santé;2927;;
ELIA NORMANDIE;Professionnel de santé;2923;0;
GlobalData;Professionnel de santé;2920;;
Nanostring Technologies, Inc;Professionnel de santé;2918;;
EG LABO - LABORATOIRES EUROGENERICS;Professionnel de santé;2913;650;
Intercept Pharmaceuticals Inc.;Professionnel de santé;2907;0;16250
INSTITUT MERIEUX;Professionnel de santé;2906;1754;1754
SEPTODONT SAS;Etablissement de santé;2906;;
THEA PHARMA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;2897;0;5136
GIE AUDILAB RESSOURCES;Etudiant;2896;75501;
ISIS PERFUSION;Professionnel de santé;2891;;
PHADIA AB;Professionnel de santé;2890;0;
MEDARTIS SARL;Etudiant;2849;;
NAOS FRANCE;Etudiant;2846;;
Pulmonx International Sàrl;Professionnel de santé;2845;851;851
RECORDATI RARE DISEASES;Etudiant;2843;;
3M Deutschland GmbH;Professionnel de santé;2842;;18800
melisana Pharma;Professionnel de santé;2799;;
EXPERF AQUITAINE;Etudiant;2789;0;
SYSMED PAS DE CALAIS;Professionnel de santé;2782;21736;
MEDTRONIC INTERNATIONAL TRADING SARL;Professionnel de santé;2779;431016;115561
FH ORTHOPEDICS;Etablissement de santé;2764;1000;
Celgene Corporation;Etablissement de santé;2758;391310;279045
Philippe Briere - Agent Commercial;Professionnel de santé;2747;;
Mauna Kea Technologies;Professionnel de santé;2740;0;20000
Zoetis France;Professionnel de santé;2738;;
AMGEN SAS;Association d'étudiants;2735;;
CIS BIO INTERNATIONAL;Etudiant;2723;2723;
H.A.C.Pharma;Etudiant;2695;;
CARESTREAM HEALTH FRANCE;Professionnel de santé;2684;;
CARESTREAM DENTAL FRANCE;Professionnel de santé;2676;0;2500
UNIV'AIR MEDICAL;Professionnel de santé;2672;0;
MEDICONTUR FRANCE;Professionnel de santé;2667;78568;20250
ALCYON FRANCE;Association professionnel de santé;2643;;
Spark Therapeutics;Professionnel de santé;2633;14631;10829
Becton Dickinson France SAS;Association professionnel de santé;2610;6560;
Dexter;Professionnel de santé;2603;0;
CLARIANCE INC;Professionnel de santé;2595;;
SWEDISH ORPHAN BIOVITRUM AB (publ);Professionnel de santé;2590;0;5790
newbone;Professionnel de santé;2587;2410;
OLORTHO;Professionnel de santé;2579;;
Kuraray Europe France;Professionnel de santé;2578;;
Essilor;Etudiant;2575;;
galderma international;Académies, Fondation, sociétés savantes, organismes de conseils;2550;0;
CENTRALE DES PEELINGS;Professionnel de santé;2544;;
INSULET FRANCE;Etudiant;2544;;
MEDICREA INTERNATIONAL;Etudiant;2526;1420;
EUROSPINE SARL;Professionnel de santé;2516;0;
EXPERF MIDI PYRENEES;Etudiant;2509;0;
laboratoire TVM;Personnes morales assurant la formation initiale ou continue des professionnels de santé;2507;0;
SAS BIMEDA FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;2504;0;
Actelion Pharmaceuticals France;Association professionnel de santé;2500;18000;
Becton Dickinson France SAS;Association d'étudiants;2500;2500;
CARDINAL HEALTH FRANCE 506 SAS;Association professionnel de santé;2500;9233;1700
EXPERF PYRENEES ORIENTALES;Association professionnel de santé;2500;;
EXPERF RHONE ALPES;Association professionnel de santé;2500;;
GEISTLICH PHARMA FRANCE;Association professionnel de santé;2500;46335;
ISIS COTE D'AZUR;Association professionnel de santé;2500;;
LEO Pharma;Association d'étudiants;2500;2500;
Merit Medical France;Académies, Fondation, sociétés savantes, organismes de conseils;2500;213001;192720
NESTLE HOMECARE;Association usager de santé;2500;;
A.MENARINI diagnostics;Association professionnel de santé;2484;;
